"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.01425000000E+009, -2.74769002414E+001, +0.00000000000E+000
+1.02150000000E+009, -2.32224908203E+001, +0.00000000000E+000
+1.02875000000E+009, -2.53509010595E+001, +0.00000000000E+000
+1.03600000000E+009, -3.62141305707E+001, +0.00000000000E+000
+1.04325000000E+009, -2.40419229640E+001, +0.00000000000E+000
+1.05050000000E+009, -2.25205636049E+001, +0.00000000000E+000
+1.05775000000E+009, -2.95737581177E+001, +0.00000000000E+000
+1.06500000000E+009, -2.56673351491E+001, +0.00000000000E+000
+1.07225000000E+009, -2.18279045900E+001, +0.00000000000E+000
+1.07950000000E+009, -2.65958451652E+001, +0.00000000000E+000
+1.08675000000E+009, -2.77335273496E+001, +0.00000000000E+000
+1.09400000000E+009, -2.18911504968E+001, +0.00000000000E+000
+1.10125000000E+009, -2.28702823597E+001, +0.00000000000E+000
+1.10850000000E+009, -3.10288701263E+001, +0.00000000000E+000
+1.11575000000E+009, -2.31112032086E+001, +0.00000000000E+000
+1.12300000000E+009, -2.15750033881E+001, +0.00000000000E+000
+1.13025000000E+009, -2.64809868755E+001, +0.00000000000E+000
+1.13750000000E+009, -3.13431637743E+001, +0.00000000000E+000
+1.14475000000E+009, -2.44109347099E+001, +0.00000000000E+000
+1.15200000000E+009, -2.48929200062E+001, +0.00000000000E+000
+1.15925000000E+009, -3.55928330756E+001, +0.00000000000E+000
+1.16650000000E+009, -2.41702900393E+001, +0.00000000000E+000
+1.17375000000E+009, -2.19600343018E+001, +0.00000000000E+000
+1.18100000000E+009, -2.75167007426E+001, +0.00000000000E+000
+1.18825000000E+009, -2.59938976548E+001, +0.00000000000E+000
+1.19550000000E+009, -2.12083675953E+001, +0.00000000000E+000
+1.20275000000E+009, -2.26205117934E+001, +0.00000000000E+000
+1.21000000000E+009, -2.68418889246E+001, +0.00000000000E+000
+1.21725000000E+009, -2.06510981037E+001, +0.00000000000E+000
+1.22450000000E+009, -1.97443253409E+001, +0.00000000000E+000
+1.23175000000E+009, -2.65426822365E+001, +0.00000000000E+000
+1.23900000000E+009, -2.34655357632E+001, +0.00000000000E+000
+1.24625000000E+009, -2.05372443397E+001, +0.00000000000E+000
+1.25350000000E+009, -2.38530728493E+001, +0.00000000000E+000
+1.26075000000E+009, -2.87347980518E+001, +0.00000000000E+000
+1.26800000000E+009, -2.21416293471E+001, +0.00000000000E+000
+1.27525000000E+009, -2.13667567944E+001, +0.00000000000E+000
+1.28250000000E+009, -2.80038949238E+001, +0.00000000000E+000
+1.28975000000E+009, -2.39443036866E+001, +0.00000000000E+000
+1.29700000000E+009, -2.02859123766E+001, +0.00000000000E+000
+1.30425000000E+009, -2.36799810713E+001, +0.00000000000E+000
+1.31150000000E+009, -2.65574853463E+001, +0.00000000000E+000
+1.31875000000E+009, -2.04986173276E+001, +0.00000000000E+000
+1.32600000000E+009, -2.05878440387E+001, +0.00000000000E+000
+1.33325000000E+009, -2.64606027174E+001, +0.00000000000E+000
+1.34050000000E+009, -2.12424697048E+001, +0.00000000000E+000
+1.34775000000E+009, -1.84556601131E+001, +0.00000000000E+000
+1.35500000000E+009, -2.34410797123E+001, +0.00000000000E+000
+1.36225000000E+009, -2.33320832477E+001, +0.00000000000E+000
+1.36950000000E+009, -1.91351445033E+001, +0.00000000000E+000
+1.37675000000E+009, -2.13383760984E+001, +0.00000000000E+000
+1.38400000000E+009, -2.94239787840E+001, +0.00000000000E+000
+1.39125000000E+009, -2.17047514632E+001, +0.00000000000E+000
+1.39850000000E+009, -1.96109347464E+001, +0.00000000000E+000
+1.40575000000E+009, -2.49215750456E+001, +0.00000000000E+000
+1.41300000000E+009, -2.44009809245E+001, +0.00000000000E+000
+1.42025000000E+009, -2.09683489200E+001, +0.00000000000E+000
+1.42750000000E+009, -2.24302539052E+001, +0.00000000000E+000
+1.43475000000E+009, -2.48598286181E+001, +0.00000000000E+000
+1.44200000000E+009, -2.07957622677E+001, +0.00000000000E+000
+1.44925000000E+009, -1.90916169516E+001, +0.00000000000E+000
+1.45650000000E+009, -2.31963943826E+001, +0.00000000000E+000
+1.46375000000E+009, -2.15885176581E+001, +0.00000000000E+000
+1.47100000000E+009, -1.75353958984E+001, +0.00000000000E+000
+1.47825000000E+009, -2.00832668771E+001, +0.00000000000E+000
+1.48550000000E+009, -2.38096951631E+001, +0.00000000000E+000
+1.49275000000E+009, -1.86921702657E+001, +0.00000000000E+000
+1.50000000000E+009, -1.91547700766E+001, +0.00000000000E+000
