"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.02150000000E+009, -2.85633674780E+000, +0.00000000000E+000
+1.02875000000E+009, -2.86666875967E+000, +0.00000000000E+000
+1.03600000000E+009, -2.87494993735E+000, +0.00000000000E+000
+1.04325000000E+009, -2.90223950329E+000, +0.00000000000E+000
+1.05050000000E+009, -2.91353720809E+000, +0.00000000000E+000
+1.05775000000E+009, -2.91339081740E+000, +0.00000000000E+000
+1.06500000000E+009, -2.93023623400E+000, +0.00000000000E+000
+1.07225000000E+009, -2.93884343687E+000, +0.00000000000E+000
+1.07950000000E+009, -2.93829113567E+000, +0.00000000000E+000
+1.08675000000E+009, -2.95428559170E+000, +0.00000000000E+000
+1.09400000000E+009, -2.97527757567E+000, +0.00000000000E+000
+1.10125000000E+009, -2.98203029196E+000, +0.00000000000E+000
+1.10850000000E+009, -2.99520820946E+000, +0.00000000000E+000
+1.11575000000E+009, -3.01785064924E+000, +0.00000000000E+000
+1.12300000000E+009, -3.03426090765E+000, +0.00000000000E+000
+1.13025000000E+009, -3.04639915811E+000, +0.00000000000E+000
+1.13750000000E+009, -3.05143279245E+000, +0.00000000000E+000
+1.14475000000E+009, -3.07671408047E+000, +0.00000000000E+000
+1.15200000000E+009, -3.09604505551E+000, +0.00000000000E+000
+1.15925000000E+009, -3.09752180240E+000, +0.00000000000E+000
+1.16650000000E+009, -3.13057652710E+000, +0.00000000000E+000
+1.17375000000E+009, -3.14133578646E+000, +0.00000000000E+000
+1.18100000000E+009, -3.12768733176E+000, +0.00000000000E+000
+1.18825000000E+009, -3.14565059986E+000, +0.00000000000E+000
+1.19550000000E+009, -3.15286596196E+000, +0.00000000000E+000
+1.20275000000E+009, -3.14511972437E+000, +0.00000000000E+000
+1.21000000000E+009, -3.16108720709E+000, +0.00000000000E+000
+1.21725000000E+009, -3.18108147234E+000, +0.00000000000E+000
+1.22450000000E+009, -3.18184987330E+000, +0.00000000000E+000
+1.23175000000E+009, -3.19926624577E+000, +0.00000000000E+000
+1.23900000000E+009, -3.21878851961E+000, +0.00000000000E+000
+1.24625000000E+009, -3.24450937948E+000, +0.00000000000E+000
+1.25350000000E+009, -3.27259127990E+000, +0.00000000000E+000
+1.26075000000E+009, -3.27210514162E+000, +0.00000000000E+000
+1.26800000000E+009, -3.30311214060E+000, +0.00000000000E+000
+1.27525000000E+009, -3.33533959214E+000, +0.00000000000E+000
+1.28250000000E+009, -3.31508730996E+000, +0.00000000000E+000
+1.28975000000E+009, -3.34209180157E+000, +0.00000000000E+000
+1.29700000000E+009, -3.37545593823E+000, +0.00000000000E+000
+1.30425000000E+009, -3.35056812896E+000, +0.00000000000E+000
+1.31150000000E+009, -3.35331924784E+000, +0.00000000000E+000
+1.31875000000E+009, -3.37491866422E+000, +0.00000000000E+000
